myo,pi,power,displacement_nm,time_on_ms,force
S217A,0mM-Pi,1.5-W,50.18011073,80,2.0072044292
S217A,0mM-Pi,1.5-W,72.28713478,37.6,2.8914853912
S217A,0mM-Pi,1.5-W,19.59115903,51.8,0.7836463612
S217A,0mM-Pi,1.5-W,18.951828,61.6,0.75807312
S217A,0mM-Pi,1.5-W,32.21633625,35.2,1.28865345
S217A,0mM-Pi,1.5-W,40.09041199,51.8,1.6036164796
S217A,0mM-Pi,1.5-W,38.832255,73,1.5532902
S217A,0mM-Pi,1.5-W,35.53976327,48.6,1.4215905308
S217A,0mM-Pi,1.5-W,16.8761841,45.6,0.675047364
S217A,0mM-Pi,1.5-W,12.40248528,94.4,0.4960994112
S217A,0mM-Pi,1.5-W,49.90099047,46.4,1.9960396188
S217A,0mM-Pi,1.5-W,38.90534787,83.8,1.5562139148
S217A,0mM-Pi,1.5-W,29.50933951,48.4,1.1803735804
S217A,0mM-Pi,1.5-W,70.46537556,122.4,2.8186150224
S217A,0mM-Pi,1.5-W,43.59960249,66,1.7439840996
S217A,0mM-Pi,1.5-W,38.96674067,47.6,1.5586696268
S217A,0mM-Pi,1.5-W,1.240963201,126.8,0.04963852804
S217A,0mM-Pi,1.5-W,13.837903,37.2,0.55351612
S217A,0mM-Pi,1.5-W,14.83845271,37.2,0.5935381084
S217A,0mM-Pi,1.5-W,10.39696922,87.2,0.4158787688
S217A,0mM-Pi,1.5-W,38.35900451,61.2,1.5343601804
S217A,0mM-Pi,1.5-W,36.03305392,45,1.4413221568
S217A,0mM-Pi,1.5-W,30.083662,41.4,1.20334648
S217A,0mM-Pi,1.5-W,6.780791774,117.6,0.27123167096
S217A,0mM-Pi,1.5-W,33.80582658,72.4,1.3522330632
S217A,0mM-Pi,1.5-W,30.81587728,39,1.2326350912
S217A,0mM-Pi,1.5-W,15.72542355,56.2,0.629016942
S217A,0mM-Pi,1.5-W,29.57085832,79,1.1828343328
S217A,0mM-Pi,1.5-W,11.10414889,118.8,0.4441659556
S217A,0mM-Pi,1.5-W,63.327789,68,2.53311156
S217A,0mM-Pi,1.5-W,3.469288722,103,0.13877154888
S217A,0mM-Pi,1.5-W,32.16704833,63.4,1.2866819332
S217A,0mM-Pi,1.5-W,93.75164525,76.6,3.75006581
S217A,0mM-Pi,1.5-W,55.82893355,47.4,2.233157342
S217A,0mM-Pi,1.5-W,24.02622716,96.4,0.9610490864
S217A,0mM-Pi,1.5-W,18.22668823,55.8,0.7290675292
S217A,0mM-Pi,1.5-W,4.937058894,204.2,0.19748235576
S217A,0mM-Pi,1.5-W,6.670439215,57,0.2668175686
S217A,0mM-Pi,1.5-W,17.6549397,100.8,0.706197588
S217A,0mM-Pi,1.5-W,66.08074964,52.8,2.6432299856
S217A,0mM-Pi,1.5-W,48.57866973,73.6,1.9431467892
S217A,0mM-Pi,1.5-W,30.15620499,43.6,1.2062481996
S217A,0mM-Pi,1.5-W,18.8505208,52.6,0.754020832
S217A,0mM-Pi,1.5-W,15.3531504,69,0.614126016
S217A,0mM-Pi,1.5-W,37.85409598,68.4,1.5141638392
S217A,0mM-Pi,1.5-W,23.95896334,106,0.9583585336
S217A,0mM-Pi,1.5-W,41.61297612,181,1.6645190448
S217A,0mM-Pi,1.5-W,5.141434802,71.2,0.20565739208
S217A,0mM-Pi,1.5-W,47.223309,60,1.88893236
S217A,0mM-Pi,1.5-W,13.50608542,80,0.5402434168
S217A,0mM-Pi,1.5-W,29.720754,129.8,1.18883016
S217A,0mM-Pi,1.5-W,20.44687768,55.6,0.8178751072
S217A,0mM-Pi,1.5-W,38.37493494,200.8,1.5349973976
S217A,0mM-Pi,1.5-W,60.02519721,67.6,2.4010078884
